name,symbol,link
ENEL,ENEL.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003128367.html?lang=it
ENERTRONICA SANTERNO,ENT.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0004887409.html?lang=it
ENERVIT,ENV.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004356751.html?lang=it
ENGIE,ENGI.SE,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/FR0010208488.html?lang=it
ENI,ENI.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003132476.html?lang=it
EPRICE,EPR.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005084717.html?lang=it
EQUITA GROUP,EQUI.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005312027.html?lang=it
ERG,ERG.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001157020.html?lang=it
ESAUTOMOTION,ESAU.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005337107.html?lang=it
ESI,ESI.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005421885.html?lang=it
ESPRINET,PRT.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003850929.html?lang=it
ESSILORLUXOTTICA,EL.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/FR0000121667.html?lang=it
ESTRIMA,BIRO.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005468191.html?lang=it
EUKEDOS,EUK.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004818297.html?lang=it
EUROTECH,ETH.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003895668.html?lang=it
EVISO,EVS.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005430936.html?lang=it
EVONIK INDUSTRIES,EVK.DE,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/DE000EVNK013.html?lang=it
EXOR,EXO.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/NL0012059018.html?lang=it
EXPERT.AI,EXAI.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0004496029.html?lang=it
EXPRIVIA,XPR.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001477402.html?lang=it
FABILIA,FHR.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005417784.html?lang=it
FARMACOSMO,COSMO.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005487670.html?lang=it
FARMAE,FAR.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005378333.html?lang=it
